obs,source
appcall_bx_outgoing_item_success,app_calls_metric_observation
session_events_p75,web_performance_metric_observation
prepare_duration_events,new_performance_metric_observation
serverloading_appstart_sessions_p25,new_performance_metric_observation
helpcenter_article_like,support_metric_observation
soa_items_c2c,c2c_core_daily_metric_observation
searches_item_view_vas,search_stream_metric_observation
searches_serp_with_price_filter,search_stream_metric_observation
draw_session_duration_events,new_performance_metric_observation
radius_300_searches,geo_searches_metric_observation
buyer_favouriteseller_add_from_fs,click_stream_metric_observation
appcall_sx_incoming_messenger_chat_menu_success,app_calls_metric_observation
traffic_daily.page_view.search_subscription_add_click,click_stream_metric_observation
appcall_item_click_phone,app_calls_metric_observation
initial_pages_finished_events_main,web_speed_metric_observartion
misspell_disabled,click_stream_metric_observation
cities_in_searches,geo_searches_metric_observation
item_views_push,search_stream_metric_observation
message_start_writing,messenger_metric_observation
messenger_links_messages,messenger_metric_observation
draw_appstart_sessions,new_performance_metric_observation
ad_clicks,ad_metric_observation
prepare_sessions_p50,new_performance_metric_observation
address_item_page_clicks,click_stream_metric_observation
operations_view_events,avitopro_tmp_metric_observation
item_add_category_last_clicks,click_stream_metric_observation
serverloading_appstart_sessions,new_performance_metric_observation
vas_amount_net_x2_7,mnz_vas_metric_observation
processing_on_load_events_p75,web_performance_metric_observation
public_profile_visit_from_subscribers_messenger,click_stream_metric_observation
performance_exceptions_count_item,app_performance_metric_observation
contacts_rec_premium,search_stream_metric_observation
dom_interactive_session_events_p95,web_performance_metric_observation
item_views_rec_i2i_premium,search_stream_metric_observation
secure_connection_events,web_performance_metric_observation
draw_sessions_sla,new_performance_metric_observation
appcall_sx_incoming_deeplink_call_back_success,app_calls_metric_observation
traffic_daily.other.hc_article_ces,click_stream_metric_observation
active_items_with_msg_contacts,messenger_metric_observation
items_started_free,sellerx_metric_observation_w_startdate
active_items_more_10_description_word,sellerx_metric_observation_w_startdate
seller_items_favorites_removed,sellerx_metric_observation_w_startdate
active_items_with_msg,messenger_metric_observation
performance_measures_count_authorization,app_performance_metric_observation
searches_saved_with_btc,search_stream_metric_observation
delivery_order_created,search_stream_metric_observation
buyer_target_clicks_from_map,search_stream_metric_observation
scrolls,map_stream_metric_observation
password_restore_errors,click_stream_metric_observation
domain_lookup_duration_events,web_performance_metric_observation
phone_views_item_top,search_stream_metric_observation
public_profile_visit_from_subscriptions_ratings,click_stream_metric_observation
seller_delivery_deals,delivery_metric_observation
favorites_net,search_stream_metric_observation
seller_str_bookings_canceled,str_metric_observation
transport_main_pages,click_stream_metric_observation
fav_added_rec_u2i_premium,search_stream_metric_observation
delivery_amount_net_adj,b2b_core_daily_metric_observation
ticket_web_created,support_metric_observation
fav_added_shop,search_stream_metric_observation
prepare_events_p50,new_performance_metric_observation
delivery_order_created_vas,search_stream_metric_observation
open_app,click_stream_metric_observation
traffic_daily.contact.item_viewphone,click_stream_metric_observation
location_changings_detailed,location_changings_metric_observation
buyer_str_paid,str_metric_observation
first_messages,search_stream_metric_observation
own_item_views,click_stream_metric_observation
traffic_daily.other.item_add_sts_recognition_response,click_stream_metric_observation
restore_success,cookie_account_enter
map_searches_to_iv_map,map_stream_metric_observation
message_reads,messenger_metric_observation
payment_method_choice,billing_metric_observation
traffic_daily.page_view.user_registrationconfirm,click_stream_metric_observation
traffic_daily.page_view.user_restore_start,click_stream_metric_observation
recshow_btc_i2i,search_stream_metric_observation
item_has_district_reactivated,item_geo_metric_observation
fav_added_serp_map_area,search_stream_metric_observation
init_appstart_session_duration_events,new_performance_metric_observation
vas_amount_net_vip,mnz_vas_metric_observation
secure_connection_events_p25,web_performance_metric_observation
tooltip_opens_region,location_changings_metric_observation
new_items_more_1_photo,sellerx_metric_observation_w_startdate
localloading_events_p50,new_performance_metric_observation
appcall_item_gallery_click_inapp,app_calls_metric_observation
anonnumber_useless_talks,communications_metric_observation
searches_item_view_regions,search_stream_metric_observation
serverloading_appstart_session_duration_events,new_performance_metric_observation
