metric_name,metric_id,numerator_observations,denominator_observations,numerator_uniq,denominator_uniq,numerator_threshold,denominator_threshold,date_filter,num_sources,den_sources,sources
users_item_create_per_users_item_chain_started,45741500010,item_add_chains_item_create,item_chains_started,participant,participant,0,0,,sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate"
users_item_sold_another_reason,11655250028,items_sold_another_reason,,participant,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
users_off_delivery,4921000017,users_off_delivery,,,,0,0,,delivery_metric_observation,,delivery_metric_observation
users_searches_radius,33695500098,searches_radius,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
vas_transactions_xl,5080000106,vas_transactions_xl,,,,0,0,,mnz_vas_metric_observation,,mnz_vas_metric_observation
items_blocked_total,5434000014,items_blocked_total,,,,0,0,,,,
items_closed_with_answer_total,11655250009,items_closed_with_answer_total,,,,0,0,,,,
proprofile_user_c_per_w2v,91845500046,proprofile_window2views_to_contact,proprofile_window2views,participant,participant,0,0,,,,
sellers_items_with_contacts_total,5434000029,sellers_items_with_contacts_total,,,,0,0,,,,
users_active_item_0_photo_total,69347250026,active_items_0_photo_total,,participant,,0,0,,,,
users_item_blocked_total,5434000037,items_blocked_total,,participant,,0,0,,,,
active_buyers_with_fs_subscriptions_share,4933500002,"favourite_sellers_subscriptions_active_old,favourite_sellers_subscriptions_active_new","delivery_order_created,booking_created_short_rent,phone_views_total,first_messages",participant,participant,0,0,,favourite_sellers_totals,search_stream_metric_observation,"search_stream_metric_observation,favourite_sellers_totals"
ad_successes,5080000003,ad_successes,,,,0,0,,ad_metric_observation,,ad_metric_observation
advertisement_rpm_net_adj,6043750002,advertisement_amount_net_adj_increased_for_RPM,advertisement_page_views,,,0,0,,b2b_core_daily_metric_observation,click_stream_metric_observation,"click_stream_metric_observation,b2b_core_daily_metric_observation"
anonnumber_long_talkers,9459500001,anonnumber_long_talks,,participant,,0,0,,communications_metric_observation,,communications_metric_observation
appcall_bx_outgoing_direct_answered_ratio,72387750027,"appcall_bx_outgoing_messenger_chat_menu_answered,appcall_bx_outgoing_item_gallery_answered,appcall_bx_outgoing_messenger_chat_long_answer_answered,appcall_bx_outgoing_item_answered","appcall_bx_outgoing_messenger_chat_menu,appcall_bx_outgoing_item_gallery,appcall_bx_outgoing_item,appcall_bx_outgoing_messenger_chat_long_answer",,,0,0,,app_calls_metric_observation,app_calls_metric_observation,"app_calls_metric_observation,app_calls_metric_observation"
appcall_bx_outgoing_direct_success,72387750028,"appcall_bx_outgoing_messenger_chat_long_answer_success,appcall_bx_outgoing_messenger_chat_menu_success,appcall_bx_outgoing_item_gallery_success,appcall_bx_outgoing_item_success",,,,0,0,,app_calls_metric_observation,,app_calls_metric_observation
btc_developer,92834000001,buyer_target_clicks_developer,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
buyer_delivery_orders_canceled,2820500004,buyer_delivery_orders_canceled,,,,0,0,,delivery_metric_observation,,delivery_metric_observation
buyer_delivery_orders_returned,2820500007,buyer_delivery_orders_returned,,,,0,0,,delivery_metric_observation,,delivery_metric_observation
buyer_delivery_paid_order_ratio,4921000005,buyer_delivery_orders_with_pay,buyer_delivery_orders,,,0,0,,delivery_metric_observation,delivery_metric_observation,"delivery_metric_observation,delivery_metric_observation"
buyer_target_clicks_serp,1898250010,buyer_target_clicks_serp,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
buyer_target_clicks_serp_radius_per_search_radius,33695500006,buyer_target_clicks_serp_radius,searches_radius,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
buyer_target_clicks_vas_per_search,1898250013,buyer_target_clicks_vas,searches_serp,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
